# phi u uprime x y
31.975 1 0 0.847747 0.530401
32.025 1 0 0.820178 0.572108
32.075 1 0 0.79056 0.612385
32.125 1 0 0.758965 0.651131
32.175 1 0 0.725474 0.68825
32.225 1 0 0.690169 0.723648
32.275 1 0 0.653139 0.757238
32.325 1 0 0.614477 0.788935
32.375 1 0 0.574279 0.81866
32.425 1 0 0.532645 0.846339
32.475 1 0 0.48968 0.871902
32.525 1 0 0.445491 0.895286
32.575 1 0 0.400189 0.916433
32.625 1 0 0.353886 0.935289
32.675 1 0 0.306699 0.951807
32.725 1 0 0.258745 0.965946
32.775 1 0 0.210145 0.97767
32.825 1 0 0.161019 0.986951
32.875 1 0 0.111491 0.993765
32.925 1 0 0.0616837 0.998096
32.975 1 0 0.0117226 0.999931
33.025 1 0 -0.0382678 0.999268
33.075 1 0 -0.0881625 0.996106
33.125 1 0 -0.137837 0.990455
33.175 1 0 -0.187167 0.982328
33.225 1 0 -0.236029 0.971746
33.275 1 0 -0.284301 0.958735
33.325 1 0 -0.331862 0.943328
33.375 1 0 -0.378594 0.925563
33.425 1 0 -0.42438 0.905484
33.475 1 0 -0.469105 0.883142
33.525 1 0 -0.512658 0.858593
33.575 1 0 -0.554929 0.831898
33.625 1 0 -0.595813 0.803123
33.675 1 0 -0.635207 0.772342
33.725 1 0 -0.673015 0.739629
33.775 1 0 -0.70914 0.705068
33.825 1 0 -0.743492 0.668745
33.875 1 0 -0.775986 0.63075
33.925 1 0 -0.806541 0.591178
33.975 1 0 -0.835079 0.550129
34.025 1 0 -0.861531 0.507705
34.075 1 0 -0.885829 0.464012
34.125 1 0 -0.907913 0.419159
34.175 1 0 -0.927727 0.373259
34.225 1 0 -0.945223 0.326425
34.275 1 0 -0.960356 0.278776
34.325 1 0 -0.973089 0.23043
34.375 1 0 -0.98339 0.181507
34.425 1 0 -0.991232 0.132132
34.475 1 0 -0.996597 0.0824256
34.525 1 0 -0.999471 0.0325135
34.575 1 0 -0.999847 -0.0174799
34.625 1 0 -0.997724 -0.0674296
34.675 1 0 -0.993107 -0.117211
34.725 1 0 -0.986008 -0.166699
34.775 1 0 -0.976444 -0.21577
34.825 1 0 -0.96444 -0.264303
34.875 1 0 -0.950025 -0.312174
34.925 1 0 -0.933235 -0.359266
34.975 1 0 -0.914113 -0.405459
35.025 1 0 -0.892706 -0.450639
35.075 1 0 -0.869068 -0.494692
35.125 1 0 -0.843258 -0.537509
35.175 1 0 -0.81534 -0.578983
35.225 1 0 -0.785384 -0.619009
35.275 1 0 -0.753464 -0.657489
35.325 1 0 -0.719662 -0.694324
35.375 1 0 -0.684061 -0.729425
35.425 1 0 -0.64675 -0.762702
35.475 1 0 -0.607823 -0.794073
35.525 1 0 -0.567376 -0.823459
35.575 1 0 -0.525511 -0.850787
35.625 1 0 -0.482333 -0.875988
35.675 1 0 -0.437949 -0.899
35.725 1 0 -0.39247 -0.919765
35.775 1 0 -0.34601 -0.938231
35.825 1 0 -0.298686 -0.954351
35.875 1 0 -0.250615 -0.968087
35.925 1 0 -0.201918 -0.979403
35.975 1 0 -0.152716 -0.98827
36.025 1 0 -0.103132 -0.994668
36.075 1 0 -0.0532903 -0.998579
36.125 1 0 -0.00331551 -0.999995
36.175 1 0 0.0466675 -0.99891
36.225 1 0 0.0965339 -0.99533
36.275 1 0 0.146159 -0.989261
36.325 1 0 0.195419 -0.98072
36.375 1 0 0.24419 -0.969727
36.425 1 0 0.292351 -0.956311
36.475 1 0 0.339781 -0.940504
36.525 1 0 0.386362 -0.922347
