# x target network target_derivative network_derivative target_second_derivative network_second_derivative network_antiderivative
0.71 -0.501393 -0.339855 -0.972363 -0.437631 17.3101 13.0346 0.200861
0.72 -0.510254 -0.34359 -0.800069 -0.310375 17.1391 12.4129 0.197442
0.73 -0.517401 -0.346084 -0.629769 -0.189442 16.9116 11.7706 0.193993
0.74 -0.522858 -0.347401 -0.462017 -0.0750154 16.63 11.1125 0.190524
0.75 -0.526652 -0.347606 -0.297342 0.0327696 16.2966 10.443 0.187049
0.76 -0.528816 -0.346768 -0.136249 0.133822 15.914 9.76672 0.183576
0.77 -0.52939 -0.344952 0.0207836 0.228095 15.485 9.08762 0.180116
0.78 -0.528416 -0.342228 0.173306 0.315579 15.0125 8.40964 0.17668
0.79 -0.52594 -0.338663 0.320898 0.396303 14.4993 7.73638 0.173275
0.8 -0.522016 -0.334325 0.463167 0.470333 13.9486 7.07122 0.169909
0.81 -0.516696 -0.329279 0.599756 0.537765 13.3636 6.41724 0.166591
0.82 -0.51004 -0.323591 0.730335 0.598725 12.7474 5.77724 0.163326
0.83 -0.50211 -0.317325 0.854611 0.653365 12.1033 5.15376 0.160121
0.84 -0.49297 -0.310544 0.972319 0.701863 11.4346 4.54904 0.156981
0.85 -0.482687 -0.303308 1.08323 0.744415 10.7445 3.96507 0.153911
0.86 -0.471329 -0.295675 1.18715 0.781239 10.0365 3.40355 0.150916
0.87 -0.458968 -0.287701 1.28391 0.812566 9.31368 2.86593 0.147999
0.88 -0.445675 -0.279441 1.37338 0.838641 8.57943 2.35341 0.145163
0.89 -0.431524 -0.270945 1.45547 0.859721 7.83692 1.86694 0.142411
0.9 -0.41659 -0.262262 1.53011 0.876069 7.08931 1.40724 0.139745
0.91 -0.400947 -0.253439 1.59725 0.887957 6.33968 0.974803 0.137166
0.92 -0.38467 -0.244517 1.6569 0.895657 5.59103 0.569934 0.134676
0.93 -0.367834 -0.235539 1.70909 0.899447 4.84628 0.192732 0.132276
0.94 -0.350513 -0.22654 1.75385 0.899604 4.10823 -0.156881 0.129966
0.95 -0.332782 -0.217558 1.79128 0.896401 3.37957 -0.479146 0.127745
0.96 -0.314712 -0.208623 1.82148 0.890111 2.66288 -0.774456 0.125614
0.97 -0.296376 -0.199765 1.84459 0.881 1.96058 -1.04334 0.123572
0.98 -0.277843 -0.191011 1.86075 0.86933 1.27499 -1.28643 0.121619
0.99 -0.259183 -0.182386 1.87015 0.855355 0.608253 -1.5045 0.119752
1 -0.240462 -0.173911 1.87298 0.839321 -0.0376144 -1.69839 0.11797
